Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-,-
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.4,1.0,0.0,0.5714285714285715,2,3,0,5,3105914965,00:00:03
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.4,1.0,0.0,0.5714285714285715,2,3,0,5,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.2857142857142857,0.4,0.0,0.3333333333333333,2,5,3,7,3722402559,00:00:03
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.2857142857142857,0.5,0.0,0.36363636363636365,2,5,2,7,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw1/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.5714285714285714,0.5,0.0,0.5333333333333333,4,3,4,7,3034219380,00:00:03
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,4,3,3,7,-,-
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-,-
conference,conference-dbpedia,dbpedia-confof,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.4,1.0,0.0,0.5714285714285715,2,3,0,5,3160513098,00:00:03
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.4,1.0,0.0,0.5714285714285715,2,3,0,5,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-sigkdd,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,ALL,0.2857142857142857,0.4,0.0,0.3333333333333333,2,5,3,7,2996111840,00:00:02
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,CLASSES,0.2857142857142857,0.5,0.0,0.36363636363636365,2,5,2,7,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-,-
conference,conference-dbpedia,dbpedia-ekaw,/home/juliansampels/melt/examples/externalPythonMatcherSeals rw2/target/external-python-matcher-seals-1.0-seals.zip,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
